index,x,y,col,row,is_interpolated
7177,584477.9789910987,5789916.63124271,2361,1908,True
7178,584477.6030341841,5789915.268624354,2361,1910,True
7179,584477.2270772695,5789913.906005999,2360,1912,True
7180,584476.8511203548,5789912.543387643,2360,1914,True
7181,584476.4751634402,5789911.180769287,2359,1915,True
7182,584476.0992065257,5789909.818150931,2359,1917,True
7183,584475.7232496111,5789908.455532576,2358,1919,True
7184,584475.3472926965,5789907.09291422,2358,1921,True
7185,584474.9713357819,5789905.730295864,2357,1923,True
7186,584474.5953788672,5789904.367677508,2357,1925,True
7187,584474.2194219526,5789903.005059152,2356,1927,True
7188,584473.843465038,5789901.642440797,2356,1928,True
7189,584473.4675081235,5789900.279822441,2355,1930,True
7190,584473.0915512089,5789898.917204085,2355,1932,True
7191,584472.7155942942,5789897.554585729,2354,1934,True
7192,584472.3396373796,5789896.191967373,2354,1936,True
7193,584471.963680465,5789894.829349018,2353,1938,True
7194,584471.5877235504,5789893.466730662,2353,1939,True
7195,584471.2117666358,5789892.104112306,2352,1941,True
7196,584470.8358097213,5789890.74149395,2352,1943,True
7197,584470.4598528066,5789889.378875594,2351,1945,True
7198,584470.083895892,5789888.016257239,2351,1947,True
7199,584469.7079389774,5789886.653638883,2350,1949,True
7200,584469.3319820628,5789885.291020527,2350,1951,True
7201,584468.9560251482,5789883.928402171,2349,1952,True
7202,584468.5800682335,5789882.565783815,2349,1954,True
7203,584468.204111319,5789881.203165459,2348,1956,True
7204,584467.8281544044,5789879.840547103,2348,1958,True
7205,584467.4521974898,5789878.477928747,2347,1960,True
7206,584467.0762405752,5789877.115310391,2347,1962,True
7207,584466.7002836606,5789875.752692036,2346,1963,True
7208,584466.3243267459,5789874.39007368,2346,1965,True
7209,584465.9483698313,5789873.027455324,2345,1967,True
7210,584465.5724129167,5789871.664836968,2345,1969,True
7211,584465.1964560022,5789870.302218612,2344,1971,True
7212,584464.8204990876,5789868.939600257,2343,1973,True
7213,584464.444542173,5789867.576981901,2343,1975,True
7214,584464.0685852583,5789866.214363545,2342,1976,True
7215,584463.6926283437,5789864.851745189,2342,1978,True
7216,584463.3166714291,5789863.489126834,2341,1980,True
7217,584462.9407145145,5789862.126508478,2341,1982,True
7218,584462.5647576,5789860.763890122,2340,1984,True
7219,584462.1888006853,5789859.401271766,2340,1986,True
7220,584461.8128437707,5789858.03865341,2339,1987,True
7221,584461.4368868561,5789856.676035055,2339,1989,True
7222,584461.0609299415,5789855.313416699,2338,1991,True
7223,584460.6849730269,5789853.950798343,2338,1993,True
7224,584460.3090161122,5789852.588179987,2337,1995,True
7225,584459.9330591977,5789851.225561631,2337,1997,True
7226,584459.5571022831,5789849.862943276,2336,1999,True
7227,584459.1811453685,5789848.50032492,2336,2000,True
7228,584458.8051884539,5789847.137706564,2335,2002,True
7229,584458.4292315393,5789845.775088208,2335,2004,True
7230,584458.0532746246,5789844.412469852,2334,2006,True
7231,584457.67731771,5789843.049851497,2334,2008,True
7232,584457.3013607955,5789841.687233141,2333,2010,True
7233,584456.9254038809,5789840.324614785,2333,2011,True
7234,584456.5494469663,5789838.961996429,2332,2013,True
7235,584456.1734900516,5789837.599378074,2332,2015,True
7236,584455.797533137,5789836.236759718,2331,2017,True
7237,584455.4215762224,5789834.874141362,2331,2019,True
